MLS Source,OUID
ACK Association of Realtors/Northern MI MLS,M00000315
Adirondack-Champlain Valley MLS,M00000483
Aiken Board of Realtors,M00000555
Alaska MLS,M00000001
Albany BOR/Southwest GA MLS,M00000172
Amarillo Association of Realtors,M00000588
Amelia Island,M00000136
Arizona Regional MLS,M00000048
Ashland Area AOR,M00000278
Aspen/Glenwood Springs MLS,M00000109
Austin Board of Realtors,M00000589
Badlands Board of Realtors,M00000427
Bagnell Dam Association of Realtors,M00000355
Bakersfield Association of Realtors/Golden Empire MLS,M00000053
Baldwin Realtors MLS,M00000022
Bay Area Real Estate Information Services,M00000097
Bay East AOR/Contra Costa AOR,M00000105
Beaches MLS- FLEX MLS,M00000170
Beaches MLS- MATRIX MLS,M00000170
Berkshire Realtors,M00000305
Big Bear AOR,M00000055
Billings Association of Realtors,M00000378
Black Hills Association of Realtors,M00000571
Bonita Springs Association of Realtors MLS,M00000821
Bright MLS,M00000309
Brooklyn BOR,M00000471
Bryan College Station Association of Realtors,M00000592
Calaveras County Association of Realtors MLS,M00000052
California Data Share,M00000093
California Regional Multiple Listing Service,M00000093
Canopy MLS,M00000391
Cape Cod and the Islands Association of Realtors,M00000307
Cape May County MLS,M00000447
Carolina Smokies AOR,M00000395
Carpet Capital AOR,M00000752
Cedar Rapids AOR,M00000200
Central Arizona Association of Realtors MLS,M00000043
Central GA BOR MLS,M00000190
Central Hill Country Association of Realtors,M00000596
Central Jersey MLS,M00000450
Central Oregon Association of Realtors,M00000525
Central Panhandle AOR,M00000159
Central Susquehanna Valley BOR,M00000538
Central Tennessee West AOR,M00000581
Central Texas MLS (Four River AOR),M00000610
Central Virginia Regional MLS,M00000643
Charleston-Trident Association of Realtors,M00000558
Charlottesville Association of Realtors,M00000633
Cheyenne Board of Realtors,M00000675
Classic / Athens,M00000177
Coastal Carolina AOR,M00000565
Coeur d'Alene Association of Realtors,M00000227
Colorado Real Estate Network,M00000684
Columbia Board of REALTORS,M00000349
Columbia Greene North Dutchess MLS,M00000476
Columbus BOR,M00000753
"Combined L.A./Westside MLS, Inc.",M00000071
Consolidated MLS,M00000559
Cooperative Arkansas Realtors MLS,M00000031
Corpus Christi Board of Realtors (South Texas MLS),M00000593
Dayton Area Board of Realtors,M00000496
Daytona Beach Area Association of REALTORS,M00000140
Des Moines Area Association of Reatlors MLS,M00000204
Desert Area MLS,M00000082
Eastern Shore AOR,M00000631
Emerald Coast,M00000138
Fargo Morehead Area Association of Realtors,M00000428
Firelands Association of Realtors,M00000504
Flint Hills AOR (aka Manhattan Area AOR),M00000271
Florida Keys MLS,M00000168
Fort Smith BOR dba Western River Valley BOR,M00000853
Franklin and Gulf Counties,M00000129
Fresno Association of REALTORS,M00000060
Gallatin Association of Realtors (Big Sky Country MLS),M00000379
Galveston Board of Realtors,M00000597
Garden State MLS,M00000449
Georgia MLS,M00000188
Global MLS,M00000468
Grand Forks Area Association of Realtors,M00000429
Grand Junction Association of Realtors MLS,M00000729
Great North MLS,M00000107
Great Plains Regional MLS,M00000441
Greater Alabama MLS,M00000010
Greater Antelope Valley Association of Realtors,M00000084
Greater Augusta Board of Realtors MLS,M00000176
Greater Baton Rouge Association of Realtors,M00000298
Greater Binghamton AOR,M00000470
Greater Chattanooga AOR,M00000575
Greater El Paso Association of Realtors,M00000595
Greater Erie BOR,M00000540
Greater Fairbanks Board of Realtors MLS,M00000002
Greater Greenville Association of Realtors,M00000365
Greater Lansing Association of Realtors,M00000322
Greater Las Vegas Association of Realtors,M00000466
Greater Lehigh Valley MLS,M00000534
Greater Louisville Association of Realtors,M00000290
Greater McAllen Association of Realtors,M00000608
Greater Northwest Indiana Association of Realtors,M00000259
Greater Scranton Board of Realtors,M00000536
Greater Southern MLS (Lake Charles)/Southwest Louisiana Association of Realtors,M00000083
Greater Tyler Association of Realtors,M00000621
Greenbrier Valley Board of Realtors,M00000669
Greenwich Board of Realtors MLS,M00000125
Gulf Coast MLS,M00000018
Gulf South Real Estate Information Network (NEW Orleans),M00000065
Hattiesburg Area Association of Realtors,M00000367
Hawaii Information System,M00000193
Heart of Iowa Association of Realtors,M00000205
Heartland MLS,M00000270
Henderson County BOR,M00000740
Hernando County Association of REALTORS/MLS,M00000131
Hi-Central MLS,M00000194
High Country AOR,M00000387
Highland Lakes BOR,M00000606
Highlands Cashiers Board of Realtors MLS,M00000390
Hilton Head Area Association of Realtors,M00000564
Hot Springs MLS,M00000029
Houston Association of Realtors MLS,M00000599
Hudson MLS,M00000784
Hudson Valley Catskill Region MLS (Ulster County Board of Realtors),M00000479
Huntington Board of Realtors,M00000668
Imperial County AOR,M00000058
Incline Village Board of Realtors,M00000465
Indian River Association of Realtors MLS,M00000169
Indiana Regional MLS,M00000256
Intermountain MLS,M00000225
Iowa City Area Association of Realtors,M00000206
"IRES,LLC",M00000118
Jefferson City Area Board of Realtors,M00000353
Kanawha Valley Board of Realtors,M00000667
Kerrville BOR,M00000600
Knoxville Area Association of Realtors,M00000582
Lake Havasu AOR,M00000832
Lake Martin Area AOR,M00000004
Lake Superior Area of Realtors,M00000337
Lakeway Area Association of Realtors,M00000584
Laredo BOR,M00000603
Lawrence BOR,M00000269
Lee County AOR MLS,M00000008
Lexington-Bluegrass Association of Realtors,M00000288
Longleaf Pine REALTORS (Fayetteville),M00000394
Longview Association of Realtors,M00000604
Low Country Regional MLS (Beaufort County Association of Realtors),M00000557
Lubbock Association of Realtors,M00000811
Luzerne County Association of REALTORS (was Greater Wilkes-Barre Association of Realtors),M00000545
Lynchburg Board of Realtors,M00000641
Maine Listings,M00000311
Mammoth Lakes Board of Realtors,M00000073
"Marco Multi List, Inc.",M00000148
Martin County Realtors of the Treasure coast Inc,M00000165
Maui Board of Reatlors,M00000195
Memphis Area Association of Realtors,M00000583
MetroList - Sacramento,M00000091
Metropolitan Indiana Board of Realtors,M00000255
MI RealSource,M00000331
Miami Association of Realtors,M00000151
Michigan Regional Information Center,T00000006
Mid America Regional Information System,M00000360
Middle Georgia MLS,M00000184
Middle Tennessee MLS - REALTRACS,M00000574
Midwest Real Estate Data,M00000243
Minot Board of Realtors,M00000431
MLS Listings,M00000101
MLS Now (YES MLS),M00000830
MLS of Columbus Realtors,M00000495
MLS of Greater Cincinnati,M00000494
MLS of Oklahoma,M00000519
MLS of Southern Arizona (MLSSAZ-aka Tucson AOR),M00000049
MLS of Spartanburg,M00000568
MLS Property Information Network,M00000306
MLS Technology (Tulsa MLS),M00000521
MLS United,M00000070
Monmouth County Board of Realtors,M00000452
Montana Regional MLS,M00000383
Montgomery AreaAOR/MLS,M00000020
Mount Rushmore AOR MLS,M00000573
Mountain Central AOR,M00000231
Mountain Home MLS/North Central BOR,M00000033
Navarre Area BOR,M00000153
NEW Canaan Association of Realtors MLS,M00000127
New England Real Estate Network,M00000445
New Jersey MLS,M00000448
New Mexico MLS,M00000462
New River Valley Association of Realtors,M00000634
New York State Alliance of MLSs (NYSAMLS/GENRIS/CNYIS/WNYREIS),T00000077
North Carolina Regional MLS,M00000722
North Central West Virginia Real Estate,M00000666
North Texas Real Estate Information System,M00000594
Northeast AR AOR,M00000030
NorthEast Central AOR MLS,M00000771
Northeast Florida/Jacksonville,M00000141
Northeast Georgia BOR (NEGBOR),M00000848
Northeast IA Regional MLS,M00000221
Northeast Louisiana Association of Realtors,M00000303
Northeast Mississippi Board of Realtors,M00000376
Northeast Oklahoma AOR,M00000515
Northeast Wisconsin Association of Realtors,M00000657
Northern Arizona Assocation of Realtors MLS,M00000040
Northern Great Lakes Realtors MLS,M00000330
Northern Kentucky Association of Realtors,M00000284
Northern Nevada Regional MLS,M00000467
Northstar MLS,M00000345
Northwest Arkansas Associaton of Realtors MLS,M00000035
Northwest IA Regionial BOR,M00000224
Northwest MLS,M00000650
Northwest Ohio Real Estate Information System,M00000505
Northwest Oklahoma Associaton of Realtors,M00000514
Northwoods Association of Realtors,M00000663
Odessa BOR,M00000736
One Key MLS,M00000489
Oregon Data Share,T00000038
Outer Banks Association of Realtors,M00000409
Ozark Gateway AOR,M00000354
Pacific Regional MLS,M00000648
Park City Board Services,M00000627
Pensacola Association of Realtors,M00000161
Permian Basin Association of Realtors,M00000737
Pike Wayne Association of Realtors,M00000721
Pikes Peak REALTOR Services Corporation,M00000111
Pocatello Board of Realtors,M00000233
Pocono Mountains Association of Realtors,M00000552
Presott Area Association of Realtors MLS,M00000044
Pueblo Board of Realtors MLS,M00000120
Real Estate Board of NEW York 620A,T00000046
Real Estate Information Network,M00000646
Realcomp MLS,M00000316
Realtor Association of Citrus County,M00000145
Realtor Association of Greater Pee Dee,M00000703
REALTOR Association of Southern Kentucky,M00000281
Realtor Association of the Sioux Empire,M00000572
Realtors Association of Acadiana,M00000300
Realtors Association of Northwest Wisconsin,M00000658
Realtors Association of Southern MN,M00000343
REcolorado,M00000116
Regional MLS of Oregon,M00000531
Rio Grande Valley MLS,M00000598
River Counties AOR,M00000577
RMLS Alliance (Peoria Area Association of Reatlors),M00000852
Roanoke Valley Association of REALTORS,M00000644
Rockford Area Association of Realtors,M00000818
Royal Gorge AOR,M00000110
San Antonio Board of Realtors,M00000616
San Diego Regional MLS,M00000846
San Francisco Multiple Listing Service,M00000094
San Juan County Board of Realtors Inc.,M00000785
Sanibel & Captiva Islands AOR,M00000163
Santa Barbara Multiple Listing Service,M00000096
Santa Fe MLS,M00000461
Santa Ynez AOR (North Santa Barbara County MLS),M00000820
Savannah Multi-List,M00000751
Sedona-Verde Association of Realtors MLS,M00000048
Selkirk AOR,M00000235
Shasta Association of Realtors,M00000090
SMART MLS,M00000127
Snake River Association of Realtors,M00000228
South Central AOR MLS,M00000637
South Central Kansas MLS,M00000277
South Central Wisconsin MLS,M00000662
South GA MLS,M00000756
South Jersey Shore Regional MLS,M00000446
South Tahoe Association of REALTORS,M00000100
Southeast Alabama AOR/MLS (Dothan),M00000013
Southeast Texas BOR,M00000591
Southeastern Indiana BOR,M00000251
Southern Indiana Realtor Associaion,M00000252
Southern Missouri Regional MLS,M00000748
Southern New Mexico MLS,M00000457
Southern Oregon MLS,M00000530
Southwest Georgia Board of Realtors,M00000179
Southwest MLS,M00000456
Space Coast Association of Realtors MLS,M00000150
Spokane Association of Realtors,M00000653
St. Augustine & St. Johns County BOR,M00000164
Staten Island BOR,M00000487
Statewide MLS,M00000554
Stellar MLS,M00000146
"Strategic MLS:Cullman,Shoals, N Central MLSs",M00000012
Summit County AOR,M00000113
Sumter Board of Realtors,M00000569
Sun Valley Board of Realtors,M00000229
Sunflower Association of Realtors,M00000276
SWFL MLS/Florida Gulf Coast MLS (Royal Palm Coast AOR),M00000130
Tahoe - Sierra MLS,M00000079
Tallahassee Board of Realtors MLS,M00000166
Taos County Association of Realtors,M00000464
Telluride AOR,M00000122
Tennessee Virginia Regional MLS,M00000580
Terre Haute Area Association of Realtors,M00000261
Teton County Board of Realtors,M00000678
Triad MLS,M00000400
Triangle MLS,M00000389
Tulare County Association of Realtors MLS,M00000104
Upper Peninsula Association of Realtors,M00000324
Vail Multi-List Services,M00000114
Valley MLS,M00000017
Waco Association of Realtors,M00000594
Walker County Board of Realtors,M00000711
Wasatch Front Regional MLS (UtahRealEstate.com),M00000628
Washington County Board of Realtors,M00000629
Water Wonderland Board of Realtors,M00000317
West Alabama MLS,M00000024
West Branch Valley AOR,M00000799
West Central AOR,M00000357
West Central Association of Realtors,M00000735
West Penn Multi List,M00000549
Western Arizona Real Estate Data Exchange,M00000039
Western Kentucky Regional MLS (Pennyrile AOR),M00000280
Western Regional Information System & Technology,M00000506
Western Upstate MLS,M00000556
White Mountain Association of Realtors MLS,M00000042
Wichita Falls AOR,M00000625
Willamette Valley MLS,M00000532
Williamsburg Board of Realtors,M00000858
Wyoming MLS,M00000679
Yakima Association of Realtors MLS,M00000656
Yuma Association of Realtors MLS,M00000050